second,Volt,Volt,Volt,Volt4
1.655,-0.072362,-0.001168,4.236809,0.009617
1.66,-0.072362,-0.009208,8.005653,0.009742
1.665,-0.112563,-0.009208,8.960427,0.009617
1.67,-0.072362,-0.009208,5.292085,0.011627
1.675,-0.072362,-0.001168,1.661432,0.009617
1.68,-0.072362,-0.008706,-1.83103,0.009742
1.685,-0.072362,-0.009208,-5.31093,0.010245
1.69,-0.08995,-0.009208,-9.067211,0.010496
1.695,-0.112563,-0.001168,-9.268216,0.009617
1.7,-0.072362,-0.009208,-5.637563,0.011501
1.705,-0.072362,-0.011721,-2.032035,0.009617
1.71,-0.094975,-0.009208,1.586055,0.010496
1.715,-0.105025,-0.001168,5.003141,0.01125
1.72,-0.11005,-0.009208,8.822236,0.011627
1.725,-0.1,-0.009208,8.156407,0.010245
1.73,-0.08995,-0.009208,4.488065,0.009617
1.735,-0.0799,-0.001168,0.819724,0.01125
1.74,-0.112563,-0.009208,-2.63505,0.009742
1.745,-0.084925,-0.009208,-6.253141,0.009617
1.75,-0.072362,-0.009208,-9.871231,0.011627
1.755,-0.112563,0.005365,-8.300879,0.011627
1.76,-0.112563,-0.009208,-4.833543,0.009742
1.765,-0.1,-0.009208,-1.165201,0.009617
1.77,-0.072362,-0.009208,2.302136,0.009617
1.775,-0.072362,-0.001168,5.970477,0.01125
1.78,-0.074874,-0.009208,9.437814,0.009617
1.785,-0.072362,-0.009208,7.151382,0.011627
1.79,-0.072362,-0.009208,3.684045,0.010496
1.795,-0.072362,0.005365,0.015704,0.009994
1.8,-0.072362,-0.00167,-3.640075,0.009742
1.805,-0.072362,-0.009208,-7.057161,0.010245
1.81,-0.112563,-0.012726,-10.788317,0.010747
1.815,-0.0799,-0.001168,-7.496859,0.01125
1.82,-0.072362,-0.001168,-4.029523,0.011501
1.825,-0.072362,-0.009208,-0.361181,0.009617
1.83,-0.08995,-0.009208,3.194096,0.010496
1.835,-0.0799,-0.001168,6.774498,0.009617
1.84,-0.072362,-0.00167,10.015704,0.009742
1.845,-0.1,-0.011721,6.548367,0.010999
1.85,-0.072362,-0.013731,2.67902,0.009617
1.855,-0.072362,-0.001168,-0.826005,0.009617
1.86,-0.072362,-0.009208,-4.255653,0.009742
1.865,-0.072362,-0.009208,-8.062186,0.009617
1.87,-0.072362,-0.009208,-10.361181,0.009617
1.875,-0.105025,-0.001168,-6.692839,0.009994
1.88,-0.074874,-0.009208,-3.21294,0.011627
1.885,-0.1,-0.009208,0.58103,0.010999
1.89,-0.094975,-0.012726,3.910176,0.010496
1.895,-0.072362,-0.001168,7.616206,0.011627
1.9,-0.074874,-0.009208,9.023241,0.011501
1.905,-0.072362,-0.011721,5.606156,0.011627
1.91,-0.072362,-0.009208,1.875,0.011627
1.915,-0.105025,-0.001168,-1.592337,0.009994
