x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-3.905000E+00,-2.404020E+00,-20.101E-03,-5.750628E+00,+325.905E-03
-3.900000E+00,-2.404020E+00,-40.201E-03,-9.268216E+00,+319.874E-03
-3.895000E+00,-2.414070E+00,-20.101E-03,-9.016960E+00,+325.905E-03
-3.890000E+00,-2.404020E+00,-10.050E-03,-5.449121E+00,+327.915E-03
-3.885000E+00,-2.404020E+00,-20.101E-03,-1.831030E+00,+327.915E-03
-3.880000E+00,-2.404020E+00,-40.201E-03,+1.586055E+00,+319.874E-03
-3.875000E+00,-2.404020E+00,-20.101E-03,+5.254397E+00,+327.915E-03
-3.870000E+00,-2.424121E+00,-20.101E-03,+9.023241E+00,+327.915E-03
-3.865000E+00,-2.404020E+00,-20.101E-03,+7.867462E+00,+327.915E-03
-3.860000E+00,-2.404020E+00,-20.101E-03,+4.199121E+00,+319.874E-03
-3.855000E+00,-2.414070E+00,-40.201E-03,+581.030E-03,+327.915E-03
-3.850000E+00,-2.424121E+00,-20.101E-03,-2.735553E+00,+327.915E-03
-3.845000E+00,-2.434171E+00,-25.126E-03,-6.454146E+00,+329.925E-03
-3.840000E+00,-2.404020E+00,-20.101E-03,-10.072236E+00,+319.874E-03
-3.835000E+00,-2.444221E+00,-20.101E-03,-8.212940E+00,+327.915E-03
-3.830000E+00,-2.404020E+00,-30.151E-03,-4.544598E+00,+327.915E-03
-3.825000E+00,-2.404020E+00,-20.101E-03,-876.256E-03,+327.915E-03
-3.820000E+00,-2.404020E+00,-20.101E-03,+2.792085E+00,+327.915E-03
-3.815000E+00,-2.404020E+00,-20.101E-03,+6.259422E+00,+327.915E-03
-3.810000E+00,-2.404020E+00,-20.101E-03,+9.726759E+00,+335.955E-03
-3.805000E+00,-2.444221E+00,-20.101E-03,+7.063442E+00,+333.945E-03
-3.800000E+00,-2.404020E+00,-40.201E-03,+3.395101E+00,+327.915E-03
-3.795000E+00,-2.404020E+00,-20.101E-03,-72.236E-03,+327.915E-03
-3.790000E+00,-2.444221E+00,-20.101E-03,-3.640075E+00,+335.955E-03
-3.785000E+00,-2.404020E+00,-20.101E-03,-7.408920E+00,+333.945E-03
-3.780000E+00,-2.404020E+00,-20.101E-03,-10.876256E+00,+327.915E-03
-3.775000E+00,-2.414070E+00,-25.126E-03,-7.408920E+00,+333.945E-03
-3.770000E+00,-2.404020E+00,-20.101E-03,-3.740578E+00,+335.955E-03
-3.765000E+00,-655.276E-03,-20.101E-03,-222.990E-03,+329.925E-03
-3.760000E+00,-72.362E-03,-20.101E-03,+3.194096E+00,+6.307E-03
-3.755000E+00,-112.563E-03,-25.126E-03,+7.013191E+00,+12.337E-03
-3.750000E+00,-112.563E-03,-20.101E-03,+9.927764E+00,+6.307E-03
-3.745000E+00,-102.513E-03,-20.101E-03,+6.209171E+00,+6.307E-03
-3.740000E+00,-72.362E-03,-40.201E-03,+2.591080E+00,+6.307E-03
-3.735000E+00,-72.362E-03,-35.176E-03,-1.027010E+00,+12.337E-03
-3.730000E+00,-72.362E-03,-20.101E-03,-4.544598E+00,+6.307E-03
-3.725000E+00,-82.412E-03,-20.101E-03,-8.212940E+00,+6.307E-03
-3.720000E+00,-112.563E-03,-20.101E-03,-10.072236E+00,+6.307E-03
-3.715000E+00,-72.362E-03,-25.126E-03,-6.604900E+00,+6.307E-03
-3.710000E+00,-112.563E-03,-20.101E-03,-2.836055E+00,+10.327E-03
-3.705000E+00,-1.851256E+00,-20.101E-03,+581.030E-03,+48.518E-03
-3.700000E+00,-2.404020E+00,-20.101E-03,+4.400126E+00,+126.910E-03
-3.695000E+00,-2.404020E+00,-40.201E-03,+7.867462E+00,+151.030E-03
-3.690000E+00,-2.404020E+00,-20.101E-03,+9.023241E+00,+159.070E-03
-3.685000E+00,-2.404020E+00,-20.101E-03,+5.405151E+00,+161.080E-03
-3.680000E+00,-2.404020E+00,-20.101E-03,+1.787060E+00,+159.070E-03
-3.675000E+00,-2.414070E+00,-20.101E-03,-1.881281E+00,+165.101E-03
-3.670000E+00,-2.424121E+00,-20.101E-03,-5.449121E+00,+163.090E-03
-3.665000E+00,-2.414070E+00,-20.101E-03,-9.016960E+00,+167.111E-03
-3.660000E+00,-2.404020E+00,-20.101E-03,-9.268216E+00,+167.111E-03
-3.655000E+00,-2.404020E+00,-20.101E-03,-5.599874E+00,+161.080E-03
-3.650000E+00,-2.404020E+00,-20.101E-03,-1.931533E+00,+167.111E-03
-3.645000E+00,-2.404020E+00,-20.101E-03,+1.385050E+00,+167.111E-03
-3.640000E+00,-2.404020E+00,-20.101E-03,+5.003141E+00,+167.111E-03
-3.635000E+00,-2.414070E+00,-20.101E-03,+8.671482E+00,+167.111E-03
-3.630000E+00,-2.424121E+00,-20.101E-03,+8.118719E+00,+171.131E-03
-3.625000E+00,-2.404020E+00,-25.126E-03,+4.400126E+00,+169.121E-03
-3.620000E+00,-2.404020E+00,-20.101E-03,+983.040E-03,+167.111E-03
-3.615000E+00,-2.404020E+00,-35.176E-03,-2.785804E+00,+169.121E-03
-3.610000E+00,-2.404020E+00,-20.101E-03,-6.152638E+00,+175.151E-03
-3.605000E+00,-2.414070E+00,-20.101E-03,-10.021985E+00,+175.151E-03
-3.600000E+00,-2.404020E+00,-40.201E-03,-8.464196E+00,+175.151E-03
-3.595000E+00,-2.414070E+00,-20.101E-03,-4.846106E+00,+169.121E-03
-3.590000E+00,-2.404020E+00,-20.101E-03,-1.228015E+00,+175.151E-03
-3.585000E+00,-2.404020E+00,-20.101E-03,+2.390075E+00,+175.151E-03
-3.580000E+00,-2.404020E+00,-40.201E-03,+5.807161E+00,+175.151E-03
-3.575000E+00,-2.404020E+00,-25.126E-03,+9.626256E+00,+175.151E-03
-3.570000E+00,-2.404020E+00,-20.101E-03,+7.415201E+00,+175.151E-03
-3.565000E+00,-2.434171E+00,-35.176E-03,+3.646357E+00,+181.181E-03
-3.560000E+00,-2.404020E+00,-20.101E-03,+179.020E-03,+183.191E-03
-3.555000E+00,-2.404020E+00,-20.101E-03,-3.439070E+00,+181.181E-03
-3.550000E+00,-2.404020E+00,-20.101E-03,-7.057161E+00,+183.191E-03
-3.545000E+00,-2.404020E+00,-20.101E-03,-10.826005E+00,+183.191E-03
-3.540000E+00,-2.404020E+00,-20.101E-03,-7.660176E+00,+175.151E-03
-3.535000E+00,-2.404020E+00,-25.126E-03,-3.991834E+00,+183.191E-03
-3.530000E+00,-2.404020E+00,-20.101E-03,-423.995E-03,+183.191E-03
-3.525000E+00,-2.404020E+00,-20.101E-03,+3.194096E+00,+183.191E-03
-3.520000E+00,-2.404020E+00,-40.201E-03,+6.812186E+00,+183.191E-03
-3.515000E+00,-2.444221E+00,-40.201E-03,+10.028266E+00,+183.191E-03
-3.510000E+00,-2.404020E+00,-20.101E-03,+6.510678E+00,+191.231E-03
-3.505000E+00,-2.414070E+00,-20.101E-03,+2.842337E+00,+185.201E-03
-3.500000E+00,-2.404020E+00,-20.101E-03,-826.005E-03,+183.191E-03
-3.495000E+00,-2.404020E+00,-20.101E-03,-4.293342E+00,+183.191E-03
-3.490000E+00,-2.444221E+00,-10.050E-03,-8.062186E+00,+191.231E-03
-3.485000E+00,-2.414070E+00,-20.101E-03,-10.323493E+00,+185.201E-03
-3.480000E+00,-2.404020E+00,-40.201E-03,-6.856156E+00,+191.231E-03
-3.475000E+00,-2.404020E+00,-20.101E-03,-3.137563E+00,+191.231E-03
-3.470000E+00,-2.404020E+00,-10.050E-03,+480.528E-03,+191.231E-03
-3.465000E+00,-2.404020E+00,-40.201E-03,+4.148869E+00,+185.201E-03
-3.460000E+00,-2.404020E+00,-40.201E-03,+7.817211E+00,+191.231E-03
-3.455000E+00,-2.444221E+00,-25.126E-03,+9.224246E+00,+191.231E-03
-3.450000E+00,-2.404020E+00,-20.101E-03,+5.606156E+00,+195.251E-03
-3.445000E+00,-2.404020E+00,-25.126E-03,+1.887563E+00,+199.271E-03
-3.440000E+00,-2.404020E+00,-40.201E-03,-1.630025E+00,+191.231E-03
-3.435000E+00,-2.434171E+00,-20.101E-03,-5.248116E+00,+191.231E-03
-3.430000E+00,-2.404020E+00,-10.050E-03,-8.866206E+00,+199.271E-03
-3.425000E+00,-2.404020E+00,-20.101E-03,-9.469221E+00,+199.271E-03
-3.420000E+00,-2.404020E+00,-20.101E-03,-5.650126E+00,+191.231E-03
-3.415000E+00,-2.414070E+00,-20.101E-03,-2.233040E+00,+197.261E-03
-3.410000E+00,-2.404020E+00,-20.101E-03,+1.284548E+00,+199.271E-03
-3.405000E+00,-2.414070E+00,-20.101E-03,+4.952889E+00,+199.271E-03
-3.400000E+00,-2.404020E+00,-40.201E-03,+8.420226E+00,+199.271E-03
-3.395000E+00,-2.414070E+00,-20.101E-03,+8.369975E+00,+199.271E-03
-3.390000E+00,-2.404020E+00,-20.101E-03,+4.701633E+00,+203.291E-03
