second,Volt1,Volt2
+710.400E-03,+660E-06,+751.760E-03
+712.050E-03,-5.042E-03,+751.760E-03
+713.700E-03,-9.391E-03,+751.760E-03
+715.350E-03,-14.416E-03,+751.760E-03
+717.000E-03,-19.441E-03,+751.760E-03
+718.650E-03,-24.466E-03,+751.760E-03
+720.300E-03,-24.466E-03,+751.760E-03
+721.950E-03,-29.491E-03,+752.012E-03
+723.600E-03,-29.491E-03,+752.012E-03
+725.250E-03,-29.491E-03,+752.012E-03
+726.900E-03,-29.491E-03,+752.186E-03
+728.550E-03,-29.491E-03,+752.263E-03
+730.200E-03,-29.491E-03,+752.420E-03
+731.850E-03,-34.516E-03,+752.460E-03
+733.500E-03,-34.516E-03,+752.514E-03
+735.150E-03,-34.516E-03,+752.739E-03
+736.800E-03,-34.516E-03,+752.765E-03
+738.450E-03,-34.516E-03,+752.765E-03
+740.100E-03,-34.516E-03,+753.017E-03
+741.750E-03,-39.541E-03,+753.017E-03
+743.400E-03,-39.541E-03,+753.268E-03
+745.050E-03,-44.567E-03,+753.268E-03
+746.700E-03,-48.459E-03,+753.519E-03
+748.350E-03,-52.680E-03,+753.519E-03
+750.000E-03,-54.617E-03,+753.770E-03
+751.650E-03,-59.642E-03,+753.770E-03
+753.300E-03,-69.692E-03,+753.770E-03
+754.950E-03,-74.589E-03,+754.022E-03
+756.600E-03,-79.742E-03,+754.226E-03
+758.250E-03,-88.057E-03,+754.437E-03
+759.900E-03,-89.793E-03,+754.397E-03
+761.550E-03,-96.499E-03,+754.775E-03
+763.200E-03,-99.843E-03,+755.027E-03
+764.850E-03,-104.868E-03,+755.027E-03
+766.500E-03,-104.868E-03,+755.278E-03
+768.150E-03,-108.358E-03,+755.278E-03
+769.800E-03,-109.893E-03,+755.412E-03
+771.450E-03,-109.893E-03,+755.529E-03
+773.100E-03,-109.893E-03,+755.529E-03
+774.750E-03,-109.893E-03,+755.529E-03
+776.400E-03,-109.893E-03,+755.529E-03
+778.050E-03,-114.918E-03,+755.780E-03
+779.700E-03,-114.918E-03,+755.780E-03
+781.350E-03,-114.918E-03,+755.780E-03
+783.000E-03,-114.918E-03,+755.844E-03
+784.650E-03,-119.943E-03,+756.032E-03
+786.300E-03,-119.943E-03,+756.267E-03
+787.950E-03,-124.969E-03,+756.534E-03
+789.600E-03,-124.969E-03,+756.785E-03
+791.250E-03,-129.994E-03,+757.037E-03
+792.900E-03,-135.019E-03,+757.539E-03
+794.550E-03,-140.044E-03,+757.791E-03
+796.200E-03,-145.069E-03,+758.293E-03
+797.850E-03,-150.094E-03,+758.749E-03
+799.500E-03,-158.409E-03,+759.047E-03
+801.150E-03,-165.170E-03,+759.298E-03
+802.800E-03,-170.195E-03,+759.382E-03
+804.450E-03,-175.220E-03,+759.549E-03
+806.100E-03,-180.245E-03,+759.549E-03
+807.750E-03,-180.245E-03,+759.549E-03
+809.400E-03,-185.270E-03,+759.724E-03
+811.050E-03,-185.270E-03,+759.801E-03
+812.700E-03,-190.295E-03,+759.801E-03
+814.350E-03,-190.295E-03,+759.801E-03
+816.000E-03,-190.295E-03,+760.052E-03
+817.650E-03,-190.295E-03,+760.052E-03
+819.300E-03,-190.295E-03,+760.554E-03
+820.950E-03,-195.320E-03,+760.806E-03
+822.600E-03,-195.320E-03,+761.308E-03
+824.250E-03,-195.320E-03,+761.559E-03
+825.900E-03,-195.320E-03,+762.062E-03
+827.550E-03,-195.320E-03,+762.548E-03
+829.200E-03,-195.320E-03,+762.759E-03
+830.850E-03,-195.320E-03,+763.067E-03
+832.500E-03,-200.345E-03,+763.318E-03
+834.150E-03,-200.345E-03,+763.569E-03
+835.800E-03,-205.371E-03,+763.569E-03
+837.450E-03,-205.371E-03,+763.569E-03
+839.100E-03,-210.396E-03,+763.774E-03
+840.750E-03,-215.421E-03,+763.821E-03
+842.400E-03,-222.931E-03,+763.821E-03
+844.050E-03,-225.471E-03,+764.072E-03
+845.700E-03,-230.496E-03,+764.323E-03
+847.350E-03,-235.594E-03,+764.323E-03
+849.000E-03,-244.841E-03,+764.538E-03
+850.650E-03,-250.597E-03,+764.749E-03
+852.300E-03,-250.597E-03,+765.077E-03
+853.950E-03,-255.622E-03,+765.579E-03
+855.600E-03,-260.647E-03,+766.136E-03
+857.250E-03,-265.672E-03,+766.584E-03
+858.900E-03,-265.672E-03,+766.836E-03
+860.550E-03,-270.697E-03,+767.087E-03
+862.200E-03,-270.697E-03,+767.231E-03
+863.850E-03,-270.697E-03,+767.338E-03
+865.500E-03,-270.697E-03,+767.338E-03
+867.150E-03,-270.697E-03,+767.590E-03
+868.800E-03,-275.722E-03,+767.590E-03
+870.450E-03,-275.722E-03,+767.590E-03
+872.100E-03,-275.722E-03,+767.590E-03
+873.750E-03,-275.722E-03,+767.590E-03
+875.400E-03,-275.722E-03,+767.590E-03
+877.050E-03,-275.722E-03,+767.590E-03
+878.700E-03,-280.620E-03,+767.590E-03
+880.350E-03,-280.747E-03,+767.590E-03
+882.000E-03,-284.037E-03,+767.590E-03
