second,Volt1,Volt2,Volt3
-37.33600E-03,+583.02996E-03,-758.69187E-03,+622.85256E-03
-37.28400E-03,+583.28523E-03,-759.94815E-03,+622.85256E-03
-37.23200E-03,+583.57870E-03,-759.94815E-03,+622.85256E-03
-37.18000E-03,+583.97267E-03,-759.94815E-03,+622.85256E-03
-37.12800E-03,+584.22795E-03,-761.20443E-03,+622.85256E-03
-37.07600E-03,+584.61388E-03,-761.20443E-03,+622.85256E-03
-37.02400E-03,+584.90332E-03,-762.36022E-03,+622.85256E-03
-36.97200E-03,+585.18473E-03,-762.46072E-03,+622.85256E-03
-36.92000E-03,+585.62091E-03,-762.46072E-03,+622.85256E-03
-36.86800E-03,+585.95659E-03,-764.26977E-03,+622.85256E-03
-36.81600E-03,+586.32845E-03,-764.97328E-03,+622.85256E-03
-36.76400E-03,+586.62795E-03,-766.22956E-03,+622.85256E-03
-36.71200E-03,+587.01388E-03,-766.22956E-03,+622.85256E-03
-36.66000E-03,+587.39981E-03,-767.23460E-03,+622.85256E-03
-36.60800E-03,+587.79981E-03,-768.74212E-03,+622.85256E-03
-36.55600E-03,+588.14754E-03,-769.99840E-03,+622.85256E-03
-36.50400E-03,+588.45709E-03,-771.25469E-03,+622.85256E-03
-36.45200E-03,+588.89327E-03,-771.05367E-03,+622.85256E-03
-36.40000E-03,+589.22895E-03,-771.25470E-03,+622.85256E-03
-36.34800E-03,+589.61488E-03,-772.51097E-03,+622.85256E-03
-36.29600E-03,+590.00081E-03,-772.51097E-03,+622.85256E-03
-36.24400E-03,+590.43699E-03,-773.76725E-03,+622.85256E-03
-36.19200E-03,+590.77267E-03,-775.02353E-03,+622.85256E-03
-36.14000E-03,+591.25910E-03,-774.77226E-03,+622.85256E-03
-36.08800E-03,+591.59478E-03,-775.07379E-03,+622.85256E-03
-36.03600E-03,+591.98071E-03,-775.02353E-03,+622.85256E-03
-35.98400E-03,+592.31639E-03,-776.27981E-03,+622.85256E-03
-35.93200E-03,+592.75257E-03,-777.53609E-03,+622.85256E-03
-35.88000E-03,+593.06815E-03,-777.53609E-03,+622.85256E-03
-35.82800E-03,+593.51237E-03,-778.79237E-03,+622.85256E-03
-35.77600E-03,+593.86413E-03,-778.79237E-03,+622.85256E-03
-35.72400E-03,+594.29629E-03,-778.79237E-03,+622.85256E-03
-35.67200E-03,+594.67016E-03,-778.79237E-03,+622.85256E-03
-35.62000E-03,+595.11840E-03,-779.29487E-03,+622.85256E-03
-35.56800E-03,+595.50433E-03,-780.04866E-03,+622.85256E-03
-35.51600E-03,+596.04101E-03,-780.40043E-03,+622.85256E-03
-35.46400E-03,+596.52744E-03,-782.56122E-03,+622.85256E-03
-35.41200E-03,+596.91538E-03,-781.30494E-03,+622.85256E-03
-35.36000E-03,+597.19880E-03,-781.30494E-03,+622.85256E-03
-35.30800E-03,+597.68523E-03,-782.10897E-03,+622.85256E-03
-35.25600E-03,+598.11941E-03,-782.56122E-03,+622.85256E-03
-35.20400E-03,+598.62393E-03,-783.81750E-03,+622.85256E-03
-35.15200E-03,+599.06011E-03,-783.81750E-03,+622.85256E-03
-35.10000E-03,+599.48021E-03,-783.81751E-03,+622.85256E-03
-35.04800E-03,+599.95860E-03,-785.07378E-03,+622.85256E-03
-34.99600E-03,+600.35257E-03,-787.58634E-03,+622.85256E-03
-34.94400E-03,+600.88925E-03,-786.33006E-03,+622.85256E-03
-34.89200E-03,+601.24302E-03,-788.03862E-03,+622.85256E-03
-34.84000E-03,+601.76162E-03,-788.84263E-03,+622.85256E-03
-34.78800E-03,+602.19780E-03,-790.04864E-03,+622.85256E-03
-34.73600E-03,+602.63398E-03,-790.09891E-03,+622.85256E-03
-34.68400E-03,+603.15659E-03,-791.00344E-03,+622.85256E-03
-34.63200E-03,+603.55659E-03,-791.35519E-03,+622.85256E-03
-34.58000E-03,+604.06312E-03,-792.61147E-03,+622.85256E-03
-34.52800E-03,+604.42895E-03,-793.86775E-03,+622.85256E-03
-34.47600E-03,+604.96161E-03,-795.12403E-03,+622.85256E-03
-34.42400E-03,+605.35156E-03,-795.02354E-03,+622.85256E-03
-34.37200E-03,+605.85006E-03,-795.12403E-03,+622.85256E-03
-34.32000E-03,+606.37468E-03,-795.12403E-03,+622.85256E-03
-34.26800E-03,+606.71036E-03,-795.12403E-03,+622.85256E-03
-34.21600E-03,+607.29729E-03,-795.12403E-03,+622.85256E-03
-34.16400E-03,+607.78373E-03,-796.38031E-03,+622.85256E-03
-34.11200E-03,+608.27016E-03,-796.38031E-03,+622.85256E-03
-34.06000E-03,+608.75659E-03,-796.38031E-03,+622.85256E-03
-34.00800E-03,+609.19277E-03,-797.63659E-03,+622.85256E-03
-33.95600E-03,+609.77971E-03,-798.89288E-03,+622.85256E-03
-33.90400E-03,+610.23197E-03,-800.14916E-03,+622.85256E-03
-33.85200E-03,+610.70232E-03,-800.14916E-03,+622.85256E-03
-33.80000E-03,+611.28925E-03,-800.14916E-03,+622.85256E-03
-33.74800E-03,+611.71739E-03,-801.40544E-03,+622.85256E-03
-33.69600E-03,+612.21187E-03,-801.40544E-03,+622.85256E-03
-33.64400E-03,+612.70031E-03,-801.40544E-03,+622.85256E-03
-33.59200E-03,+613.11639E-03,-802.66172E-03,+622.85256E-03
-33.54000E-03,+613.63096E-03,-802.66172E-03,+622.85256E-03
-33.48800E-03,+614.06111E-03,-803.91800E-03,+622.85256E-03
-33.43600E-03,+614.63800E-03,-805.02354E-03,+622.85256E-03
-33.38400E-03,+615.10232E-03,-805.52603E-03,+622.85256E-03
-33.33200E-03,+615.54453E-03,-805.17428E-03,+622.85256E-03
-33.28000E-03,+616.10332E-03,-805.17428E-03,+622.85256E-03
-33.22800E-03,+616.55157E-03,-805.17428E-03,+622.85256E-03
-33.17600E-03,+617.07619E-03,-806.43056E-03,+622.85256E-03
-33.12400E-03,+617.65508E-03,-807.58636E-03,+622.85256E-03
-33.07200E-03,+618.13749E-03,-807.68685E-03,+622.85256E-03
-33.02000E-03,+618.68624E-03,-808.44063E-03,+622.85256E-03
-32.96800E-03,+619.34554E-03,-810.19941E-03,+622.85256E-03
-32.91600E-03,+619.72342E-03,-811.10392E-03,+622.85256E-03
-32.86400E-03,+620.29629E-03,-811.45569E-03,+622.85256E-03
-32.81200E-03,+620.97971E-03,-810.19941E-03,+622.85256E-03
-32.76000E-03,+621.39981E-03,-811.45569E-03,+622.85256E-03
-32.70800E-03,+621.90634E-03,-811.00344E-03,+622.85256E-03
-32.65600E-03,+622.46714E-03,-811.45569E-03,+622.85256E-03
-32.60400E-03,+622.84503E-03,-812.71197E-03,+622.85256E-03
-32.55200E-03,+623.42393E-03,-813.96825E-03,+622.85256E-03
-32.50000E-03,+623.85207E-03,-815.22453E-03,+622.85256E-03
-32.44800E-03,+624.34654E-03,-815.22453E-03,+622.85256E-03
-32.39600E-03,+624.94353E-03,-815.22453E-03,+622.85256E-03
-32.34400E-03,+625.41388E-03,-816.48082E-03,+622.85256E-03
-32.29200E-03,+625.94855E-03,-816.48082E-03,+622.85256E-03
-32.24000E-03,+626.49528E-03,-816.48082E-03,+622.85256E-03
-32.18800E-03,+626.87317E-03,-816.48082E-03,+622.85256E-03
-32.13600E-03,+627.50835E-03,-817.73710E-03,+622.85256E-03
-32.08400E-03,+628.11740E-03,-818.08884E-03,+622.85256E-03
-32.03200E-03,+628.58172E-03,-818.99338E-03,+622.85256E-03
-31.98000E-03,+629.11840E-03,-818.99338E-03,+622.85256E-03
