second,Volt1,Volt2,Volt3
+2.773900E+00,+22.883E-03,-3.241049E+00,+1.074204E+00
+2.775350E+00,+22.908E-03,-3.236024E+00,+1.074204E+00
+2.776800E+00,+22.853E-03,-3.236024E+00,+1.074204E+00
+2.778250E+00,+22.794E-03,-3.230999E+00,+1.074204E+00
+2.779700E+00,+22.743E-03,-3.225974E+00,+1.074204E+00
+2.781150E+00,+22.705E-03,-3.224705E+00,+1.074204E+00
+2.782600E+00,+22.645E-03,-3.220484E+00,+1.074204E+00
+2.784050E+00,+22.658E-03,-3.216263E+00,+1.074204E+00
+2.785500E+00,+22.635E-03,-3.215923E+00,+1.074204E+00
+2.786950E+00,+22.600E-03,-3.210898E+00,+1.074204E+00
+2.788400E+00,+22.565E-03,-3.208625E+00,+1.074204E+00
+2.789850E+00,+22.537E-03,-3.205873E+00,+1.074204E+00
+2.791300E+00,+22.478E-03,-3.205873E+00,+1.074204E+00
+2.792750E+00,+22.444E-03,-3.200848E+00,+1.074204E+00
+2.794200E+00,+22.419E-03,-3.200848E+00,+1.074204E+00
+2.795650E+00,+22.423E-03,-3.195823E+00,+1.074204E+00
+2.797100E+00,+22.375E-03,-3.195823E+00,+1.074204E+00
+2.798550E+00,+22.323E-03,-3.195823E+00,+1.074204E+00
+2.800000E+00,+22.302E-03,-3.190798E+00,+1.074204E+00
+2.801450E+00,+22.206E-03,-3.190798E+00,+1.074204E+00
+2.802900E+00,+22.216E-03,-3.190056E+00,+1.074204E+00
+2.804350E+00,+22.172E-03,-3.185773E+00,+1.074204E+00
+2.805800E+00,+22.167E-03,-3.185773E+00,+1.074204E+00
+2.807250E+00,+22.108E-03,-3.185773E+00,+1.074204E+00
+2.808700E+00,+22.080E-03,-3.180747E+00,+1.074204E+00
+2.810150E+00,+22.018E-03,-3.180484E+00,+1.074204E+00
+2.811600E+00,+21.968E-03,-3.176263E+00,+1.074204E+00
+2.813050E+00,+21.973E-03,-3.175722E+00,+1.074204E+00
+2.814500E+00,+21.954E-03,-3.172846E+00,+1.074204E+00
+2.815950E+00,+21.936E-03,-3.170697E+00,+1.074204E+00
+2.817400E+00,+21.916E-03,-3.165672E+00,+1.074204E+00
+2.818850E+00,+21.865E-03,-3.165208E+00,+1.074204E+00
+2.820300E+00,+21.817E-03,-3.160647E+00,+1.074204E+00
+2.821750E+00,+21.769E-03,-3.155622E+00,+1.074204E+00
+2.823200E+00,+21.748E-03,-3.155622E+00,+1.074204E+00
+2.824650E+00,+21.747E-03,-3.153348E+00,+1.074204E+00
+2.826100E+00,+21.741E-03,-3.149127E+00,+1.074204E+00
+2.827550E+00,+21.725E-03,-3.144906E+00,+1.074204E+00
+2.829000E+00,+21.652E-03,-3.140546E+00,+1.074204E+00
+2.830450E+00,+21.642E-03,-3.135521E+00,+1.074204E+00
+2.831900E+00,+21.594E-03,-3.135521E+00,+1.074204E+00
+2.833350E+00,+21.577E-03,-3.133047E+00,+1.074204E+00
+2.834800E+00,+21.561E-03,-3.130496E+00,+1.074204E+00
+2.836250E+00,+21.575E-03,-3.125471E+00,+1.074204E+00
+2.837700E+00,+21.502E-03,-3.125471E+00,+1.074204E+00
+2.839150E+00,+21.441E-03,-3.120446E+00,+1.074204E+00
+2.840600E+00,+21.393E-03,-3.116966E+00,+1.074204E+00
+2.842050E+00,+21.363E-03,-3.115421E+00,+1.074204E+00
+2.843500E+00,+21.306E-03,-3.115421E+00,+1.074204E+00
+2.844950E+00,+21.313E-03,-3.110396E+00,+1.074204E+00
+2.846400E+00,+21.301E-03,-3.110396E+00,+1.074204E+00
+2.847850E+00,+21.274E-03,-3.105911E+00,+1.074204E+00
+2.849300E+00,+21.188E-03,-3.105371E+00,+1.074204E+00
+2.850750E+00,+21.154E-03,-3.105371E+00,+1.074204E+00
+2.852200E+00,+21.110E-03,-3.100345E+00,+1.074204E+00
+2.853650E+00,+21.103E-03,-3.100345E+00,+1.074204E+00
+2.855100E+00,+21.101E-03,-3.100345E+00,+1.074204E+00
+2.856550E+00,+21.076E-03,-3.095320E+00,+1.074204E+00
+2.858000E+00,+21.037E-03,-3.095320E+00,+1.074204E+00
+2.859450E+00,+21.004E-03,-3.090295E+00,+1.074204E+00
+2.860900E+00,+20.955E-03,-3.090295E+00,+1.074204E+00
+2.862350E+00,+20.933E-03,-3.085270E+00,+1.074204E+00
+2.863800E+00,+20.935E-03,-3.084605E+00,+1.074204E+00
+2.865250E+00,+20.911E-03,-3.080245E+00,+1.074204E+00
+2.866700E+00,+20.891E-03,-3.080245E+00,+1.074204E+00
+2.868150E+00,+20.840E-03,-3.075220E+00,+1.074204E+00
+2.869600E+00,+20.811E-03,-3.072669E+00,+1.074204E+00
+2.871050E+00,+20.773E-03,-3.070195E+00,+1.074204E+00
+2.872500E+00,+20.769E-03,-3.065170E+00,+1.074204E+00
+2.873950E+00,+20.761E-03,-3.065170E+00,+1.074204E+00
+2.875400E+00,+20.746E-03,-3.060144E+00,+1.074204E+00
+2.876850E+00,+20.706E-03,-3.055119E+00,+1.074204E+00
+2.878300E+00,+20.678E-03,-3.052444E+00,+1.074204E+00
+2.879750E+00,+20.643E-03,-3.050094E+00,+1.074204E+00
+2.881200E+00,+20.575E-03,-3.049027E+00,+1.074204E+00
+2.882650E+00,+20.572E-03,-3.045069E+00,+1.074204E+00
+2.884100E+00,+20.574E-03,-3.045069E+00,+1.074204E+00
+2.885550E+00,+20.547E-03,-3.040044E+00,+1.074204E+00
+2.887000E+00,+20.535E-03,-3.040044E+00,+1.074204E+00
+2.888450E+00,+20.464E-03,-3.035019E+00,+1.074204E+00
+2.889900E+00,+20.421E-03,-3.035019E+00,+1.074204E+00
+2.891350E+00,+20.383E-03,-3.029994E+00,+1.074204E+00
+2.892800E+00,+20.347E-03,-3.029994E+00,+1.074204E+00
+2.894250E+00,+20.359E-03,-3.028850E+00,+1.074204E+00
+2.895700E+00,+20.331E-03,-3.024969E+00,+1.074204E+00
+2.897150E+00,+20.334E-03,-3.019943E+00,+1.074204E+00
+2.898600E+00,+20.267E-03,-3.019943E+00,+1.074204E+00
+2.900050E+00,+20.244E-03,-3.015584E+00,+1.074204E+00
+2.901500E+00,+20.196E-03,-3.014918E+00,+1.074204E+00
+2.902950E+00,+20.216E-03,-3.010836E+00,+1.074204E+00
+2.904400E+00,+20.174E-03,-3.009893E+00,+1.074204E+00
+2.905850E+00,+20.196E-03,-3.009893E+00,+1.074204E+00
+2.907300E+00,+20.187E-03,-3.004868E+00,+1.074204E+00
+2.908750E+00,+20.110E-03,-3.004868E+00,+1.074204E+00
+2.910200E+00,+20.057E-03,-2.999843E+00,+1.074204E+00
+2.911650E+00,+20.057E-03,-2.999843E+00,+1.074204E+00
+2.913100E+00,+20.053E-03,-2.994818E+00,+1.074204E+00
+2.914550E+00,+20.019E-03,-2.992142E+00,+1.074204E+00
+2.916000E+00,+20.015E-03,-2.989793E+00,+1.074204E+00
+2.917450E+00,+20.039E-03,-2.988725E+00,+1.074204E+00
+2.918900E+00,+19.980E-03,-2.984768E+00,+1.074204E+00
+2.920350E+00,+19.923E-03,-2.979742E+00,+1.074204E+00
+2.921800E+00,+19.906E-03,-2.974717E+00,+1.074204E+00
+2.923250E+00,+19.856E-03,-2.974717E+00,+1.074204E+00
+2.924700E+00,+19.851E-03,-2.969692E+00,+1.074204E+00
+2.926150E+00,+19.856E-03,-2.969692E+00,+1.074204E+00
+2.927600E+00,+19.795E-03,-2.969228E+00,+1.074204E+00
+2.929050E+00,+19.769E-03,-2.964667E+00,+1.074204E+00
+2.930500E+00,+19.721E-03,-2.960786E+00,+1.074204E+00
+2.931950E+00,+19.698E-03,-2.959642E+00,+1.074204E+00
+2.933400E+00,+19.675E-03,-2.957368E+00,+1.074204E+00
+2.934850E+00,+19.689E-03,-2.954617E+00,+1.074204E+00
+2.936300E+00,+19.711E-03,-2.949592E+00,+1.074204E+00
+2.937750E+00,+19.668E-03,-2.949592E+00,+1.074204E+00
+2.939200E+00,+19.595E-03,-2.945509E+00,+1.074204E+00
+2.940650E+00,+19.559E-03,-2.944567E+00,+1.074204E+00
